metabolite,super_pathway,sub_pathway,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30
adenosine 3'-monophosphate (3'-AMP),Nucleotide,Purine Metabolism_ Adenine containing,0.00433824,0.0074426,0.00829838,0.00165662,0.00842326,0.00238906,0.00754974,0.00310209,0.0054608,0.00190644,0.00361236,0.00700972,0.00078309,0.00144284,0.00184554,0.00207316,0.00205114,0.00118848,0.00130853,0.00103825,0.00186189,0.00092927,0.00082464,0.0013439,0.0007494,0.00858296,0.0014697,0.00043145,0.00080518,0.00049444
adenosine 5'-monophosphate (AMP),Nucleotide,Purine Metabolism_ Adenine containing,0.01701443,0.01347928,0.01463151,0.00591228,0.01285545,0.00710118,0.0128599,0.01609613,0.01533146,0.00742543,0.00682524,0.01567868,0.00611705,0.00583362,0.00548659,0.00295514,0.00483023,0.00852511,0.00515298,0.00389838,0.00353265,0.00200298,0.00481462,0.00278798,0.00058773,0.00462528,0.00171866,0.00046448,0.0010192,0.000569
"adenosine-2',3'-cyclic monophosphate",Nucleotide,Purine Metabolism_ Adenine containing,0.00493587,0.0128321,0.00944798,0.00169623,0.01150074,0.00233655,0.0151202,0.0039775,0.0086632,0.00211892,0.00703348,0.01186669,0.00077666,0.00279188,0.0020205,0.00169599,0.00292666,0.00137161,0.00145809,0.00110657,0.0018363,0.00090457,0.00068326,0.00110902,0.00099493,0.00993587,0.00142363,0.00050252,0.00112389,0.00055956
AICA ribonucleotide,Nucleotide,Purine Metabolism_ (Hypo)Xanthine/Inosine containing,0.00163503,0.00162283,0.00111493,0.00216744,0.0014533,0.00217855,0.00261551,0.00197231,0.00307211,0.0036235,0.00324641,0.0023053,0.00197188,0.00193469,0.00314547,0.00331365,0.00275759,0.00174658,0.00354331,0.00452673,0.00338707,0.00449318,0.00429332,0.00509958,0.00222549,0.00111908,0.00321115,0.00185272,0.00366154,0.00167885
alanine,Amino Acid,Alanine and Aspartate Metabolism,0.00214347,0.00212216,0.00260819,0.00299162,0.0025656,0.00320415,0.00145097,0.00120144,0.00206672,0.00165796,0.00172307,0.00092669,0.00233801,0.0022681,0.00301648,0.002527,0.00265466,0.00187283,0.00251109,0.00265375,0.00327091,0.00297641,0.00160508,0.00219748,0.00316897,0.0035874,0.00365753,0.00387861,0.00361955,0.00338749
allo-threonine,Amino Acid,Glycine_ Serine and Threonine Metabolism,0.00057311,0.0025697,0.00223046,0.00344745,0.00111153,0.00142154,0.0020012,0.00039862,0.00224139,0.00258849,0.00210792,0.00092628,0.00479796,0.00430289,0.00342532,0.00382345,0.0041337,0.00292751,0.00597096,0.00650304,0.00778197,0.00620329,0.00439564,0.00664817,0.00472672,0.0038777,0.00799852,0.00578618,0.00748757,0.00703058
alpha-hydroxyisovalerate,Amino Acid,Leucine_ Isoleucine and Valine Metabolism,0.00145262,0.00144177,0.0017174,0.00192563,0.00125922,0.00151355,0.00153435,0.00101035,0.00093881,0.00127448,0.00153797,0.00132845,0.00104787,0.00310953,0.00151639,0.00208891,0.00319039,0.00094527,0.00449035,0.00342676,0.00265864,0.00294822,0.00683747,0.00108049,0.00282732,0.0029372,0.00261267,0.00282993,0.00409829,0.00234032
alpha-ketoglutarate,Energy,TCA Cycle,0.00171264,0.00256925,0.00391289,0.00080289,0.00139531,0.00065849,0.00335889,0.0020663,0.0041441,0.00182427,0.00624443,0.00330704,0.00155396,0.00611383,0.00853272,0.0071313,0.00739684,0.00245938,0.01061635,0.00516856,0.01098175,0.00658348,0.00420735,0.01020016,0.00626232,0.00078574,0.01448052,0.00660864,0.01013204,0.01418863
alpha-tocopherol,Cofactors and Vitamins,Tocopherol Metabolism,0.00323082,0.00428902,0.00225935,0.0066324,0.00294681,0.00708957,0.00464121,0.00230485,0.00661926,0.00764064,0.00492745,0.004693,0.01117272,0.00344255,0.00609152,0.00456161,0.00403573,0.00513236,0.00181352,0.00287047,0.00226666,0.00133541,0.00239339,0.00323617,0.00509236,0.00163405,0.00328794,0.00564724,0.00273658,0.0035091
arabitol/xylitol,Carbohydrate,Pentose Metabolism,0.00208728,0.00207169,0.00162464,0.00276695,0.00180938,0.00217483,0.00220472,0.00145178,0.00306318,0.00183131,0.0025669,0.00190885,0.0021646,0.00364434,0.00405582,0.00317108,0.00325074,0.00304273,0.00389787,0.00473111,0.0033295,0.00358062,0.00230892,0.00251131,0.00356701,0.00324398,0.00464543,0.00295866,0.00330046,0.00076193
arabonate/xylonate,Carbohydrate,Pentose Metabolism,0.00553396,0.00254314,0.0028895,0.01040207,0.00429031,0.00474512,0.00630511,0.0022788,0.00707122,0.0064902,0.00477918,0.00333804,0.00666592,0.00422959,0.00366181,0.00514725,0.00437552,0.00268082,0.00864836,0.00353556,0.0053206,0.00471121,0.00815677,0.00643353,0.01018069,0.00053481,0.00757938,0.00774241,0.00799301,0.00608256
arginine,Amino Acid,Urea cycle_ Arginine and Proline Metabolism,0.00385656,0.00441341,0.00319211,0.00433016,0.00397212,0.0039672,0.00421016,0.00349854,0.00345577,0.00373423,0.00521219,0.00401307,0.00350686,0.00469858,0.0043909,0.00403441,0.0041337,0.00299456,0.00317056,0.00359469,0.00339014,0.00349081,0.00426698,0.0044842,0.00346961,0.00270093,0.00330132,0.00395469,0.00298698,0.00228171
argininosuccinate,Amino Acid,Urea cycle_ Arginine and Proline Metabolism,0.00158464,0.00237315,0.00166053,0.00162706,0.00275002,0.00145964,0.00229564,0.00158424,0.00224658,0.00196044,0.00285967,0.00223352,0.00370183,0.00181291,0.00273811,0.00280469,0.0018829,0.0016807,0.00334784,0.00310987,0.00315884,0.00470373,0.00320077,0.00463381,0.00638188,0.00244512,0.00260746,0.00649111,0.00324937,0.00224834
asparagine,Amino Acid,Alanine and Aspartate Metabolism,0.00122873,0.00130189,0.00130835,0.00239211,0.00168914,0.00208142,0.00136805,0.00149769,0.00182632,0.00227114,0.00232325,0.00146182,0.00251657,0.00243363,0.00284708,0.00262647,0.00291756,0.00204232,0.00279116,0.00422963,0.0037092,0.00407582,0.00361702,0.00416174,0.00371312,0.00443724,0.00335829,0.00439675,0.00364703,0.00303778
aspartate,Amino Acid,Alanine and Aspartate Metabolism,0.00239457,0.00251348,0.00248137,0.00559716,0.00453272,0.00488732,0.00471093,0.00394958,0.00436316,0.0063599,0.00767096,0.00466322,0.00898013,0.00903576,0.00955835,0.00885257,0.00933513,0.00548876,0.00618115,0.00741097,0.00697703,0.00826789,0.00685593,0.00826509,0.0074581,0.00241399,0.00654715,0.00701666,0.00555347,0.00436432
beta-hydroxyisovalerate,Amino Acid,Leucine_ Isoleucine and Valine Metabolism,0.00156367,0.001552,0.00226939,0.00372888,0.00135549,0.00162926,0.00165165,0.00108759,0.00101059,0.00456028,0.00165555,0.0042839,0.00112799,0.00686343,0.00129955,0.00145312,0.00526426,0.00101753,0.00373474,0.00414926,0.00138164,0.00200124,0.00348049,0.0011631,0.0017489,0.00107024,0.00086849,0.00200207,0.00249141,0.00292333
betaine,Amino Acid,Glycine_ Serine and Threonine Metabolism,0.00230849,0.00229126,0.00157416,0.00685648,0.00315867,0.00240532,0.00500583,0.00160564,0.00405878,0.01781656,0.00367564,0.00211116,0.00208159,0.00240998,0.00191857,0.00364564,0.0021396,0.01871061,0.00213141,0.00148575,0.00132433,0.0024398,0.00347807,0.00171711,0.00929379,0.0026005,0.0067426,0.00132177,0.00100159,0.04446468
biotin,Cofactors and Vitamins,Biotin Metabolism,0.00079477,0.00495967,0.00459352,0.00574024,0.0056686,0.00614853,0.00471093,0.00209019,0.00607563,0.00498211,0.00573067,0.00312758,0.00306255,0.00587579,0.00726579,0.00681092,0.00661226,0.00095049,0.00404657,0.00556297,0.00510721,0.00474913,0.0036591,0.00408046,0.00473808,0.00008761,0.00507769,0.0041543,0.00460663,0.00356201
choline,Lipid,Phospholipid Metabolism,0.00429497,0.00442536,0.00420394,0.00240689,0.00298586,0.00489661,0.00311675,0.00360804,0.00455658,0.04414716,0.00192234,0.00460939,0.00130976,0.00282695,0.00180329,0.00175278,0.00181676,0.05258554,0.00185539,0.00251625,0.0010416,0.00305998,0.00257472,0.00135053,0.02828601,0.00305259,0.0172864,0.00081504,0.00124986,0.06889651
citrate,Energy,TCA Cycle,0.000669,0.0005498,0.00068276,0.00066691,0.00075236,0.00081417,0.00136381,0.00137981,0.00106132,0.00110935,0.00142464,0.00133049,0.00108616,0.00289907,0.00209278,0.00226961,0.00230412,0.00261204,0.0026338,0.00273957,0.00290912,0.00256653,0.00227895,0.00301656,0.00298826,0.01353395,0.00218833,0.00410505,0.00193507,0.00118457
citrulline,Amino Acid,Urea cycle_ Arginine and Proline Metabolism,0.00594874,0.00520845,0.00530061,0.00748022,0.00493171,0.00581906,0.00568986,0.00296622,0.00415447,0.00482089,0.00472204,0.00362233,0.00385207,0.00332392,0.00437719,0.00565538,0.0035463,0.00307785,0.00619501,0.00481894,0.00642642,0.00587249,0.00463843,0.00703929,0.00327004,0.0010852,0.00356786,0.00333605,0.00304948,0.002593
creatinine,Amino Acid,Creatine Metabolism,0.00122873,0.00154492,0.00332957,0.00471918,0.00106513,0.00128027,0.00197294,0.00085463,0.00150204,0.00298645,0.00130092,0.00251291,0.00349174,0.00108577,0.00102118,0.00114185,0.00544367,0.00722925,0.00356756,0.00079081,0.00160885,0.00139228,0.01781174,0.00331745,0.00233553,0.00151866,0.00297854,0.00055157,0.00053311,0.01011036
cystathionine,Amino Acid,Methionine_ Cysteine_ SAM and Taurine Metabolism,0.00137903,0.00642402,0.00299868,0.00182808,0.00254279,0.00186069,0.00252035,0.00095917,0.00339553,0.00263662,0.00378802,0.00316184,0.00296088,0.00309613,0.00367997,0.00468761,0.0040287,0.00089738,0.00252091,0.00311388,0.0025586,0.00546336,0.00443742,0.00490617,0.00962592,0.00094386,0.0029129,0.00961815,0.00334942,0.00237012
cysteine,Amino Acid,Methionine_ Cysteine_ SAM and Taurine Metabolism,0.00203643,0.00203938,0.00138864,0.00305842,0.00200384,0.00219202,0.00502562,0.00141641,0.00495147,0.00491989,0.00485662,0.00407874,0.00146902,0.00318362,0.00287377,0.00339406,0.00468555,0.00132517,0.00131835,0.00354359,0.00184756,0.00296942,0.00414196,0.00306665,0.0018637,0.00139381,0.00299514,0.00185532,0.00252798,0.0019548
cytidine,Nucleotide,Pyrimidine Metabolism_ Cytidine containing,0.00372053,0.00216952,0.00330463,0.00213788,0.00211171,0.00255682,0.00183302,0.00373461,0.00321076,0.00141496,0.00238038,0.00147487,0.00116338,0.00205095,0.00143967,0.00149871,0.00175227,0.00217931,0.00259569,0.00256333,0.0029342,0.00259223,0.00176795,0.0025133,0.00118827,0.00572055,0.00246825,0.00098962,0.00238091,0.00122641
cytidine 2' or 3'-monophosphate (2' or 3'-CMP),Nucleotide,Pyrimidine Metabolism_ Cytidine containing,0.00176794,0.00220361,0.00214105,0.00234363,0.00392843,0.0018421,0.00186741,0.00122967,0.00283604,0.00155114,0.00187182,0.00179546,0.00127534,0.00156225,0.00146932,0.00164294,0.0016386,0.00115046,0.00114453,0.00113785,0.00101423,0.00098889,0.00120002,0.00131504,0.00072578,0.00538476,0.00098195,0.00079362,0.00076706,0.00064536
"cytidine 2',3'-cyclic monophosphate",Nucleotide,Pyrimidine Metabolism_ Cytidine containing,0.00236424,0.00415534,0.00417383,0.0015904,0.00462396,0.00125006,0.00445513,0.00140804,0.00324939,0.00105261,0.00242713,0.0038589,0.00086545,0.00106016,0.00099709,0.00111491,0.00111196,0.00078071,0.00077669,0.00077216,0.00068826,0.00067107,0.00081435,0.00089239,0.00049252,0.0073781,0.00066636,0.00053856,0.00052054,0.00043795
cytidine 5'-monophosphate (5'-CMP),Nucleotide,Pyrimidine Metabolism_ Cytidine containing,0.02446708,0.01202334,0.02778861,0.00170629,0.00771923,0.0053432,0.00488005,0.03568707,0.02714229,0.01047135,0.00506959,0.01253519,0.00908533,0.00397421,0.00296977,0.0025013,0.00392619,0.01403651,0.00453048,0.00360215,0.00387064,0.00323511,0.00443742,0.00095742,0.00052841,0.00168198,0.00071491,0.0005778,0.00086536,0.00046986
dehydroascorbate,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,0.00147849,0.00039398,0.00027067,0.00591228,0.00034409,0.00041359,0.00209401,0.00038032,0.00031563,0.00355893,0.00138025,0.00064036,0.00564186,0.0022283,0.00149193,0.00471662,0.00311143,0.00117861,0.00804896,0.00222691,0.00259262,0.00930343,0.00918302,0.00684456,0.02337766,0.00027168,0.01535074,0.02984627,0.02049126,0.02579028
"diacylglycerol (12:0/18:1, 14:0/16:1, 16:0/14:1) [1]*",Lipid,Diacylglycerol,0.00056954,0.00099335,0.00038837,0.00246601,0.00096771,0.00251035,0.00321333,0.00078669,0.00041651,0.00121853,0.00316944,0.0012432,0.00215398,0.00237885,0.00403766,0.00673258,0.00378729,0.00152456,0.00302821,0.00542461,0.00423268,0.00458099,0.00438354,0.00525351,0.00131333,0.00745472,0.00247221,0.00176062,0.00153258,0.00130684
"diacylglycerol (12:0/18:1, 14:0/16:1, 16:0/14:1) [2]*",Lipid,Diacylglycerol,0.00093169,0.00095705,0.00058544,0.00276991,0.00076589,0.00248943,0.00293585,0.00095979,0.00054565,0.00131362,0.0027062,0.00110819,0.00292774,0.00237609,0.0032689,0.00425242,0.0029775,0.0020757,0.00315323,0.00305131,0.00347304,0.0031206,0.00336727,0.00455718,0.00160792,0.00576084,0.00231243,0.00170176,0.00190314,0.00162805
"diacylglycerol (14:0/18:1, 16:0/16:1) [1]*",Lipid,Diacylglycerol,0.00148384,0.00139972,0.00108908,0.00323047,0.00117107,0.00284679,0.00349928,0.00109504,0.00089961,0.0016787,0.00403074,0.00144061,0.00236118,0.002944,0.00395908,0.00512653,0.00361078,0.00180782,0.00302561,0.0044277,0.00397452,0.00402567,0.0043575,0.00489921,0.00148177,0.00689427,0.00247717,0.00172759,0.00169048,0.00148283
"diacylglycerol (14:0/18:1, 16:0/16:1) [2]*",Lipid,Diacylglycerol,0.00108467,0.00111199,0.00075545,0.00292776,0.00078406,0.00266509,0.0034663,0.00120578,0.00067766,0.00170844,0.00308586,0.00137413,0.00268098,0.00249905,0.0033801,0.00406715,0.0029279,0.00228466,0.00307094,0.00284463,0.00318136,0.00308119,0.00328553,0.00426027,0.00162861,0.00667845,0.00241325,0.00171017,0.00190044,0.00168015
dihydroorotate,Nucleotide,Pyrimidine Metabolism_ Orotate containing,0.00196864,0.00086719,0.00126395,0.02290951,0.02188841,0.04529728,0.0017209,0.00310209,0.00147264,0.00283854,0.00309672,0.00109514,0.00958369,0.00754878,0.00999648,0.01004623,0.00837156,0.0050926,0.00730634,0.00831948,0.01031958,0.01029058,0.00721467,0.00927492,0.01973521,0.00173418,0.02193975,0.0205907,0.01939252,0.01604395
dihydroxyacetone phosphate (DHAP),Carbohydrate,Glycolysis_ Gluconeogenesis_ and Pyruvate Metabolism,0.01015317,0.00128507,0.00088288,0.00349652,0.00112235,0.00261444,0.00136758,0.00134134,0.00083678,0.00173388,0.00137081,0.00118406,0.01260377,0.0011441,0.00107604,0.00120319,0.00120001,0.00265818,0.00627817,0.00091224,0.00077628,0.00476011,0.00775625,0.00359645,0.00924912,0.00088617,0.00148902,0.00733118,0.00259397,0.00294856
dimethylarginine (SDMA + ADMA),Amino Acid,Urea cycle_ Arginine and Proline Metabolism,0.00048792,0.00048428,0.00075393,0.0006468,0.00042296,0.00061109,0.00062561,0.00033937,0.00083159,0.00062179,0.00051659,0.00044621,0.00035197,0.00068733,0.00040551,0.00146016,0.00045223,0.00031751,0.00031587,0.00112006,0.00027991,0.00027292,0.00100052,0.00081543,0.00076606,0.00402026,0.0005155,0.00101986,0.00075545,0.00083226
eicosenoate (20:1),Lipid,Long Chain Fatty Acid,0.00499698,0.00681711,0.00361089,0.00640714,0.00703646,0.00458294,0.00572614,0.00355003,0.00413603,0.00661268,0.00538408,0.01136623,0.00170131,0.00680037,0.00401431,0.00372273,0.00638078,0.00058655,0.00305246,0.00464872,0.00407507,0.00510039,0.00810924,0.00815163,0.00110387,0.00208675,0.0068563,0.00071214,0.00322596,0.00162805
ergosterol,Lipid,Sterol,0.00431148,0.00442891,0.00379337,0.0050414,0.00454238,0.00512014,0.00507885,0.00345945,0.00336958,0.0043525,0.00472204,0.00510169,0.00241137,0.00363724,0.00371444,0.00402653,0.00420562,0.00309526,0.00361318,0.00364463,0.00378237,0.00360033,0.0040575,0.00466732,0.00180969,0.0027284,0.00342716,0.00219107,0.00236505,0.00204695
erythro-imidazole-glycerol-phosphate,Xenobiotics,Food Component/Plant,0.00066722,0.00113766,0.00045497,0.00088448,0.00174945,0.0006952,0.00070476,0.00150265,0.00043121,0.00058539,0.00209423,0.00147854,0.00381153,0.00178571,0.00321627,0.0050627,0.00261787,0.00290226,0.00043194,0.00292386,0.00304985,0.00325182,0.00187602,0.00263007,0.00363769,0.00045667,0.00271745,0.00237105,0.0028821,0.00211484
erythronate*,Carbohydrate,Aminosugar Metabolism,0.00445999,0.00382068,0.00333018,0.00806495,0.0045996,0.00650171,0.00499688,0.0030447,0.00295451,0.00492028,0.00528161,0.00373246,0.00378901,0.00483809,0.00321478,0.00474936,0.00517291,0.00472285,0.00567183,0.0048465,0.00504427,0.00425793,0.00658287,0.00578862,0.00585659,0.00133184,0.0044418,0.0057001,0.00544936,0.00706069
fructose,Carbohydrate,Fructose_ Mannose and Galactose Metabolism,0.00469905,0.00390523,0.00273166,0.00760556,0.00527425,0.00601191,0.00474438,0.00206041,0.00288937,0.00530102,0.00438678,0.00396862,0.00292646,0.00360177,0.00359323,0.00400996,0.00412378,0.00304273,0.00444126,0.00352034,0.00313044,0.00311137,0.00383953,0.00366711,0.00224801,0.00017308,0.00325153,0.00237506,0.00217851,0.00179916
"fructose 1,6-diphosphate/glucose 1,6-diphosphate/myo-inositol diphosphates",Carbohydrate,Glycolysis_ Gluconeogenesis_ and Pyruvate Metabolism,0.00560933,0.00484811,0.00475988,0.00860592,0.00737977,0.00802781,0.00342532,0.00310209,0.00334681,0.00444954,0.00402318,0.00390988,0.0020047,0.00592347,0.00481013,0.00593722,0.00444042,0.0032575,0.00400499,0.00372214,0.00492299,0.00609576,0.00477194,0.00623614,0.00542431,0.0003364,0.00490652,0.00568308,0.00388369,0.00353613
fumarate,Energy,TCA Cycle,0.00071048,0.00049712,0.00052036,0.00066395,0.00043417,0.00052187,0.00133225,0.00099422,0.00172025,0.00127175,0.0017736,0.00077537,0.00168973,0.00151614,0.0015416,0.00164211,0.00157618,0.00189286,0.00225268,0.0021982,0.00296746,0.00225994,0.00168802,0.00232056,0.00179706,0.03201462,0.00205085,0.0017358,0.0019401,0.00182016
gamma-glutamyl-2-aminobutyrate,Peptide,Gamma-glutamyl Amino Acid,0.00033718,0.00033466,0.00032967,0.00044697,0.00029228,0.00035132,0.00035615,0.00023452,0.00035166,0.00029583,0.00035699,0.00030835,0.00024323,0.00029795,0.00032767,0.00031334,0.00031251,0.00021941,0.00021828,0.00021701,0.00019343,0.000233,0.00022886,0.0002508,0.00015142,0.00274763,0.00018727,0.00015136,0.00022853,0.00015613
gamma-glutamylalanine,Peptide,Gamma-glutamyl Amino Acid,0.00332314,0.00498844,0.00396003,0.00298452,0.00506122,0.00336355,0.00415269,0.00314862,0.00452227,0.00426602,0.00506392,0.00390907,0.00290844,0.00351034,0.00429787,0.00414466,0.00283324,0.00256908,0.00198243,0.00315809,0.00273207,0.00320767,0.00159357,0.00259225,0.00299229,0.00207179,0.00242539,0.00140405,0.00404198,0.00174885
gamma-glutamylcysteine,Peptide,Gamma-glutamyl Amino Acid,0.00062039,0.00226204,0.00042304,0.00200131,0.0024558,0.00214276,0.00258253,0.0004315,0.00413113,0.00440611,0.002922,0.00340616,0.00044753,0.00163635,0.00345201,0.00264056,0.00327596,0.00040371,0.00288731,0.00411195,0.00296874,0.00507045,0.00341994,0.00380943,0.00355749,0.00042462,0.00288367,0.0039609,0.00396361,0.00272324
gamma-glutamylglutamate,Peptide,Gamma-glutamyl Amino Acid,0.00199808,0.00458871,0.00242693,0.0026487,0.00394931,0.00227335,0.00264849,0.00318926,0.0025746,0.00304436,0.00383997,0.00329277,0.0032173,0.00176561,0.00294012,0.00338204,0.0028754,0.00227683,0.00219234,0.00255845,0.00186957,0.00313308,0.00263073,0.0036691,0.00279876,0.00550687,0.0023595,0.00250739,0.00148149,0.00174804
gamma-glutamylglutamine,Peptide,Gamma-glutamyl Amino Acid,0.00268759,0.00324034,0.0024838,0.00310158,0.00345946,0.002561,0.00288403,0.00239543,0.00263715,0.00303849,0.00346551,0.00280617,0.00284248,0.00263226,0.00319551,0.00283204,0.00241697,0.00241468,0.00185741,0.00334266,0.00196116,0.00267954,0.00226442,0.00229136,0.00249025,0.00570376,0.00217966,0.00234683,0.00246451,0.00167738
gamma-glutamylglycine,Peptide,Gamma-glutamyl Amino Acid,0.00148072,0.00160158,0.00178948,0.00089985,0.00188167,0.00138854,0.0014227,0.00091388,0.00151905,0.00136722,0.00151719,0.00138473,0.00176051,0.00186769,0.00222436,0.00231106,0.00233099,0.00130776,0.0021932,0.00224643,0.00247442,0.00298814,0.0020955,0.00256372,0.00219949,0.0039644,0.00200972,0.00231339,0.0021996,0.00184768
gamma-glutamylthreonine,Peptide,Gamma-glutamyl Amino Acid,0.00349931,0.00368301,0.00359386,0.00319795,0.00257295,0.0025136,0.00335465,0.00369242,0.00266511,0.00322475,0.00330685,0.00475459,0.00341967,0.00371252,0.00425153,0.00317315,0.00467935,0.00237086,0.00169341,0.00195594,0.0025586,0.00331319,0.00303457,0.00274552,0.00401578,0.00165114,0.00449333,0.00638621,0.00277238,0.0040812
gluconate,Xenobiotics,Food Component/Plant,0.0071855,0.00346079,0.00410479,0.00894765,0.00351862,0.00427205,0.00506566,0.00323269,0.0027415,0.00586803,0.00415965,0.00428717,0.00927451,0.00479474,0.00383861,0.00517585,0.00398654,0.00684354,0.00748737,0.00405253,0.00505937,0.0058458,0.00575188,0.00840111,0.01063952,0.00011936,0.00901961,0.01247851,0.00888198,0.01248015
glucose,Carbohydrate,Glycolysis_ Gluconeogenesis_ and Pyruvate Metabolism,0.00534842,0.00489814,0.00312277,0.00727684,0.00442756,0.00616108,0.00570399,0.00303974,0.00332519,0.00567746,0.00560082,0.00496954,0.00324111,0.00440142,0.00397353,0.00491059,0.00491993,0.00349375,0.00398795,0.00380854,0.00306085,0.00322563,0.00428545,0.00399155,0.00223227,0.00000855,0.00246527,0.00229057,0.00193411,0.00162805
glucose 6-phosphate,Carbohydrate,Glycolysis_ Gluconeogenesis_ and Pyruvate Metabolism,0.01036725,0.00924692,0.00825307,0.005554,0.00730593,0.00567453,0.00692224,0.00767736,0.00716289,0.0037401,0.00476738,0.00744656,0.00281739,0.00550926,0.00487833,0.0037277,0.00492695,0.00619866,0.00453625,0.00441564,0.00432531,0.0029829,0.003482,0.00469087,0.00101269,0.00286699,0.00263793,0.00110975,0.00199254,0.00145125
glutamate,Amino Acid,Glutamate Metabolism,0.00191378,0.00180875,0.00174994,0.00235723,0.00184572,0.00222873,0.00169782,0.00142355,0.00200071,0.0018861,0.00196579,0.00112777,0.00206004,0.00230318,0.00267176,0.00242628,0.00261952,0.00173294,0.00208031,0.00242268,0.00238436,0.00249469,0.00201104,0.0022134,0.00201402,0.00351078,0.00234216,0.00221489,0.00226849,0.0017202
"glutamate, gamma-methyl ester",Amino Acid,Glutamate Metabolism,0.00267867,0.00397163,0.0027563,0.00257539,0.00360019,0.00237093,0.0032317,0.00214448,0.00271469,0.00194205,0.00382061,0.00224739,0.00256934,0.00437462,0.00443094,0.00275578,0.00455781,0.00246751,0.00374773,0.00442798,0.00522593,0.00411673,0.00466023,0.00380843,0.00228225,0.00311486,0.00167729,0.00261891,0.00322867,0.00083926
glutamine,Amino Acid,Glutamate Metabolism,0.0014544,0.00128109,0.00175329,0.00265639,0.00192613,0.00254195,0.00096668,0.00060615,0.0012579,0.00109722,0.00129951,0.00048823,0.00108841,0.00157841,0.00192413,0.00210714,0.00210323,0.00117164,0.00367353,0.00405626,0.00482909,0.00430957,0.003027,0.00461192,0.00348261,0.00323971,0.0044641,0.00526485,0.00513123,0.00450677
"glutathione, oxidized (GSSG)",Amino Acid,Glutathione Metabolism,0.00221796,0.00638683,0.00395486,0.00229042,0.00513584,0.00194387,0.00471093,0.0029352,0.00277407,0.0021921,0.0049284,0.00390743,0.00534426,0.00509781,0.00366848,0.00400291,0.00413948,0.00270462,0.00297509,0.00284664,0.00252533,0.00171061,0.0020068,0.00394511,0.0015843,0.00073323,0.00312123,0.00140646,0.00283566,0.0016414
"glutathione, reduced (GSH)",Amino Acid,Glutathione Metabolism,0.00048971,0.00409779,0.00205863,0.00678967,0.00482693,0.00600215,0.00751299,0.00053387,0.00690981,0.0064859,0.00574862,0.00548509,0.0020536,0.00440773,0.00621569,0.00824414,0.0068483,0.00059177,0.00631368,0.00784212,0.00734982,0.00982707,0.00874527,0.00871991,0.00513429,0.00028725,0.00579087,0.00673336,0.00665239,0.00459159
glycerate,Carbohydrate,Glycolysis_ Gluconeogenesis_ and Pyruvate Metabolism,0.00693886,0.00373878,0.00326662,0.00609616,0.00386619,0.0056973,0.00396095,0.00590452,0.00503766,0.00522237,0.00393157,0.00425984,0.00492569,0.00615836,0.00339456,0.00434567,0.00403904,0.00804159,0.00609049,0.00371955,0.00562763,0.00422949,0.00571161,0.00313101,0.00639909,0.00350284,0.00317969,0.00514032,0.00416834,0.00347394
glycerol,Lipid,Glycerolipid Metabolism,0.00312869,0.00138777,0.00127946,0.00485339,0.00224819,0.0022845,0.00342814,0.00220373,0.00413026,0.00461389,0.0034962,0.0024346,0.00491764,0.00762406,0.00899531,0.00791547,0.00735054,0.00675734,0.00449583,0.01131481,0.01416515,0.00499835,0.00647026,0.00453296,0.01143872,0.0001914,0.01330708,0.01404933,0.00972355,0.01076109
glycerol 3-phosphate,Lipid,Glycerolipid Metabolism,0.00395557,0.00386849,0.00374562,0.00487468,0.0046487,0.00372555,0.00349127,0.00202784,0.00252243,0.00225158,0.00351792,0.00186113,0.00239689,0.0039411,0.0055396,0.00566699,0.00489967,0.00240946,0.00445194,0.00412285,0.00416898,0.00292901,0.00440987,0.00544294,0.00453979,0.00222076,0.00359263,0.00519317,0.00374688,0.00341386
glycerophosphoethanolamine,Lipid,Phospholipid Metabolism,0.00367548,0.00441872,0.00209847,0.0043272,0.00425474,0.0033194,0.00472836,0.00197913,0.00290954,0.00323023,0.00457566,0.00380098,0.0001081,0.003506,0.00370666,0.00374677,0.00355209,0.00099403,0.00196164,0.00317761,0.00270623,0.0027721,0.00351409,0.00378222,0.00006756,0.00441679,0.00239765,0.00004124,0.0009834,0.00038976
glycerophosphoglycerol,Lipid,Glycerolipid Metabolism,0.00313493,0.00394684,0.00141145,0.00770548,0.00497539,0.00491427,0.01046015,0.001176,0.00356847,0.00572637,0.00823052,0.00484962,0.00014767,0.00478686,0.00586615,0.00610674,0.00610134,0.00059816,0.00301955,0.00739863,0.00478508,0.00448021,0.00762517,0.00842466,0.00019774,0.00123172,0.00246949,0.00012873,0.00066257,0.00039659
glycerophosphoinositol*,Lipid,Phospholipid Metabolism,0.00268046,0.00316553,0.00054074,0.01538908,0.00301678,0.01087925,0.00681059,0.0006896,0.00291444,0.00782651,0.00560601,0.00184196,0.000185,0.00582061,0.00731434,0.00661487,0.00931033,0.00043737,0.00138591,0.01376561,0.00564247,0.00895143,0.01990089,0.00981467,0.00024827,0.0020956,0.00247717,0.00027809,0.00100682,0.00051788
